iter	Passed	Remaining
750	21992	7291
751	22019	7261
752	22047	7232
753	22088	7206
754	22114	7176
755	22138	7145
756	22164	7114
757	22189	7084
758	22215	7053
759	22244	7024
760	22269	6993
761	22289	6961
762	22309	6929
763	22334	6899
764	22362	6869
765	22390	6839
766	22435	6815
767	22471	6788
768	22500	6759
769	22520	6726
770	22546	6696
771	22575	6667
772	22602	6637
773	22630	6607
774	22660	6578
775	22684	6547
776	22704	6516
777	22726	6484
778	22748	6453
779	22775	6423
780	22801	6393
781	22827	6363
782	22853	6333
783	22880	6303
784	22901	6272
785	22923	6241
786	22946	6210
787	22975	6181
788	23001	6151
789	23026	6120
790	23054	6091
791	23104	6067
792	23133	6038
793	23159	6008
794	23182	5977
795	23206	5947
796	23234	5917
797	23259	5887
798	23284	5857
799	23311	5827
800	23332	5796
801	23353	5765
802	23376	5734
803	23402	5705
804	23432	5676
805	23459	5646
806	23485	5616
807	23516	5588
808	23538	5557
809	23562	5527
810	23584	5496
811	23609	5466
812	23634	5436
813	23657	5405
814	23702	5380
815	23734	5351
816	23763	5322
817	23798	5295
818	23824	5265
819	23851	5235
820	23875	5205
821	23901	5175
822	23928	5146
823	23957	5117
824	23978	5086
825	23999	5055
826	24022	5025
827	24047	4995
828	24073	4965
829	24129	4942
830	24168	4915
831	24193	4885
832	24220	4855
833	24241	4825
834	24267	4795
835	24295	4766
836	24323	4736
837	24350	4707
838	24376	4677
839	24401	4647
840	24422	4617
841	24446	4587
842	24474	4558
843	24501	4528
844	24526	4498
845	24554	4469
846	24582	4440
847	24604	4410
848	24625	4379
849	24649	4349
850	24672	4319
851	24706	4291
852	24734	4262
853	24780	4236
854	24807	4207
855	24837	4178
856	24863	4148
857	24894	4120
858	24921	4090
859	24946	4061
860	24974	4031
861	24998	4002
862	25020	3971
863	25043	3942
864	25063	3911
865	25088	3882
866	25116	3852
867	25163	3826
868	25190	3797
869	25211	3767
870	25232	3737
871	25256	3707
872	25280	3677
873	25312	3649
874	25340	3620
875	25367	3590
876	25397	3561
877	25420	3532
878	25442	3502
879	25464	3472
880	25488	3442
881	25517	3413
882	25542	3384
883	25568	3355
884	25596	3326
885	25620	3296
886	25642	3266
887	25663	3236
888	25685	3207
889	25714	3178
890	25742	3149
891	25768	3119
892	25792	3090
893	25839	3063
894	25867	3034
895	25890	3005
896	25911	2975
897	25939	2946
898	25963	2916
899	25997	2888
900	26038	2861
901	26063	2831
902	26091	2802
903	26111	2772
904	26135	2743
905	26182	2716
906	26212	2687
907	26242	2658
908	26268	2629
909	26289	2600
910	26309	2570
911	26332	2540
912	26353	2511
913	26374	2481
914	26400	2452
915	26429	2423
916	26456	2394
917	26482	2365
918	26509	2336
919	26532	2307
920	26552	2277
921	26573	2248
922	26593	2218
923	26622	2189
924	26649	2160
925	26675	2131
926	26707	2103
927	26740	2074
928	26763	2045
929	26784	2016
930	26804	1986
931	26834	1957
932	26868	1929
933	26901	1900
934	26932	1872
935	26961	1843
936	27006	1815
937	27035	1787
